track_id,genres,followers,popularity
2xsvdEyqL37Qj3nBjekrUA,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
7HYpAkbObRWUmvp754VZCH,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
21FuEp6ezh5Yau5mq4pKfV,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0KJHN5Y2zDcKh7riFHvpTt,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0ON7LeIWChOhxhMHZY4qLZ,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4vGkaPECPrris9KsNGQRgX,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
2u9VGZmVz7Rm01SfDgzcfA,"['classical', 'late romantic era']",730871,61
6Y2ID5LrizFmT8FL0BQEgG,"['classical', 'late romantic era']",730871,61
1dFVnX4mJTnWubAPE8S3OR,"['classical', 'late romantic era']",730871,61
3JAaETnjF592bbsgzUXAMp,"['classical', 'late romantic era']",730871,61
5HMB40txXdGhVcPH5QxibE,"['classical', 'late romantic era']",730871,61
3mmuiyuZHEE2ZKzgzZP8sS,"['classical', 'late romantic era']",730871,61
5XBWQDLsTWj9uoVeKG2uuo,"['classical', 'late romantic era']",730871,61
4GDmXyfuxk6omRjCCF3Nr1,"['classical', 'late romantic era']",730871,61
4302P24v1ljMAzxnL5VO52,"['classical', 'late romantic era']",730871,61
5G5SIUNYqHtMX9Rhub0Qcu,"['classical', 'late romantic era']",730871,61
1mIiXgLdPNp0d9wccO485S,"['classical', 'late romantic era']",730871,61
3tROciMVjdxYR4boNVLIhB,"['classical', 'late romantic era']",730871,61
0jFPa8eFjwhfZAw0TrMQ2g,"['classical', 'late romantic era']",730871,61
4wKGetA5crT9tZhjqTLTka,"['classical', 'late romantic era']",730871,61
2LOQtnSs1l1uSycL81qFGk,"['classical', 'late romantic era']",730871,61
7B1ZnEE48TSp4bXSqRoIxx,"['classical', 'late romantic era']",730871,61
6xTH4nf81GgjAJJtPOqdxh,"['classical', 'late romantic era']",730871,61
0Tavxx4mxW9WsYyvY2YScn,"['classical', 'late romantic era']",730871,61
0ixYDyfSMMdvNKhyDhAxyd,"['classical', 'late romantic era']",730871,61
1xB9TsyExvGrO4eHO3R0gT,"['classical', 'late romantic era']",730871,61
7MB8LNvuV8Cla1J3vJOzpH,"['classical', 'late romantic era']",730871,61
0mwn1hTGqC0luXpwI9EG3G,"['classical', 'late romantic era']",730871,61
5fGiMy2FFw1uzYtEsbI7BD,"['classical', 'late romantic era']",730871,61
3PKQ4dNA6gdvqTJgndtBiF,"['classical', 'late romantic era']",730871,61
4bRoHeskqCS9Q386ttf6u9,"['classical', 'late romantic era']",730871,61
4ryUIjpYgc3BNZQhGYzUpM,"['classical', 'late romantic era']",730871,61
2ohGSOM9bH4EBFS78WRkqI,"['classical', 'late romantic era']",730871,61
4b5FyTX9mXq4do2rRqRbq6,"['classical', 'late romantic era']",730871,61
4lcZ5do9xqLrDE45X8PkZN,"['classical', 'late romantic era']",730871,61
7wX5PdULVgAo6ZOkTGPhXj,"['classical', 'late romantic era']",730871,61
2lJWbOdU6gwvmuqXzPjyVv,"['classical', 'late romantic era']",730871,61
6Mw7tm0M9vHlqIfUO8rTBD,"['classical', 'late romantic era']",730871,61
6zUPyF3LBuxYHxTV7G1zze,"['classical', 'early romantic era', 'polish classical']",3044739,72
7eocs06QszmFJwnFwHe1GJ,"['classical', 'late romantic era']",730871,61
0NXNQJdVOsAqvxjuulEyNr,"['classical', 'late romantic era']",730871,61
7Co7leFkFbUXGEy9Q2t1Vk,"['classical', 'late romantic era']",730871,61
0HlYo1qgQYTAaPar58UjmW,"['classical', 'late romantic era']",730871,61
6CxNvUMx58ZucUpBVCzrdk,"['classical', 'late romantic era']",730871,61
7bNbsJXzfI6qUzadfnYCvI,"['classical', 'late romantic era']",730871,61
6DbLVTGeYkWTZzHuxxv8nt,"['classical', 'late romantic era']",730871,61
0OHp1g5byIrNimiriJOsqi,"['classical', 'late romantic era']",730871,61
1cLqcUQzMpgiSCp6Bqx7X8,"['classical', 'classical era', 'early romantic era']",1010952,63
2yMqgwZOL23YvSXqNN0Wsu,"['classical', 'late romantic era']",730871,61
4IFK3qw5LcFK67zpWjSbJ2,"['classical', 'late romantic era']",730871,61
54kpY58qUYcBIP49sfnRRF,"['classical', 'late romantic era']",730871,61
5t6s4VX5QpZ64iV7hbyYud,"['classical', 'late romantic era']",730871,61
3GBZAY2DdxZfWecKun3qF0,"['classical', 'late romantic era']",730871,61
58Gl0b7ugZIMidJNni4d1c,"['classical', 'late romantic era']",730871,61
5kWbU1l9Dy3P9F1yCA6P7s,"['classical', 'late romantic era']",730871,61
4djfz7d3D12RImkcz3ZwCY,"['classical', 'late romantic era']",730871,61
26KykHLogeIep4OrurliDS,"['classical', 'impressionism', 'post-romantic era']",1419924,68
43bSKCMWHIuBsUVmQcDX1J,"['classical', 'impressionism', 'post-romantic era']",1419924,68
3qzNMOAMWvzMtl3aPv9rOB,['classical harp'],27591,49
4VpLwqzkob5lUeTE9rCqcK,"['classical', 'impressionism', 'post-romantic era']",1419924,68
0YNY0I3Hkspqe2NlhuWAQu,"['classical', 'impressionism', 'post-romantic era']",1419924,68
5Ebm8OIFGeyoK25ZzXuju5,"['classical', 'impressionism', 'post-romantic era']",1419924,68
4VTnc3rElZ3Ihcz5VM8mXa,"['classical', 'impressionism', 'post-romantic era']",1419924,68
5NAIQcA3vCUOC9AxNteyfD,"['classical', 'impressionism', 'post-romantic era']",1419924,68
4eY2bxGE2ykwefZ3adjetE,"['classical', 'impressionism', 'post-romantic era']",1419924,68
2u22XYHmJiVBl0HSW8jQFt,"['classical', 'impressionism', 'post-romantic era']",1419924,68
3rL2blyeOBnUBq3yYA1KcE,"['classical', 'impressionism', 'post-romantic era']",1419924,68
2oWssoQZzx2Jkf0XArAYYS,"['classical', 'impressionism', 'post-romantic era']",1419924,68
1sSkBaP2bKPT7WmYBVBtzI,"['classical', 'impressionism', 'post-romantic era']",1419924,68
7bUIMBHbFjZ9ZcEWcMalzh,"['classical', 'impressionism', 'post-romantic era']",1419924,68
4tHjDWRTJCNcsZyN3qohXS,"['classical', 'impressionism', 'post-romantic era']",1419924,68
7ipHx0jgei0eK8xn3xoKIL,"['classical', 'impressionism', 'post-romantic era']",1419924,68
