track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
1ba2SJHoTUFs2a7KSRwm8G,"Piano Concerto for the Left Hand in D Major, M. 82: I. Lento",Ravel,Maurice Ravel,2015-10-02,460933,15,0.227,0.939,0.0671,0.888,0.145,-21.888,0.0425,128.413,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
4fyXmuO3wpHOsyCYoOUGI1,"Pavane pour une infante défunte, M. 19",Mademoiselle in New York,Lucienne Renaudin Vary,2019-10-04,224360,31,0.188,0.968,0.116,0.934,0.121,-19.939,0.0375,86.948,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
6RUyR6TnvuY1hLEizjHWtL,Piano trio in a minor: Modéré,Ravel/Shostakovich: Piano Trios,Trio Mondrian,2012-04-04,554386,22,0.143,0.951,0.0231,0.39,0.0731,-30.173,0.0393,81.5,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
2Vc2lQa79WLuHJHnKvoUUt,"Ravel: Sonatine, M. 40: II. Mouvement de menuet",My Paris Years - French Music for Piano,Alain Lefèvre,2019-04-12,211333,22,0.417,0.995,0.0413,0.943,0.121,-24.787,0.0639,67.725,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
1lNYA7pVMt0qBpHK2nMJqy,Menuet antique (version for orchestra),"Ravel: Orchestral Works, Vol. 1",Maurice Ravel,2012-11-06,395293,20,0.265,0.978,0.00786,0.581,0.0801,-26.526,0.0375,74.222,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
4mnbrrduAIy9ZyNoi4byOU,"Ravel / Arr. Grainger: Miroirs, M. 43: V. La vallée des cloches",Grainger - In a Nutshell,Percy Grainger,1997-05-01,327933,39,0.0905,0.979,0.00523,0.879,0.0615,-28.178,0.0412,71.001,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
5I11A5koQ25fBYqZD0XZ5T,"Ravel: Ma mère l'Oye, M. 60: III. Laideronnette, impératrice des pagodes","Ravel: La Valse, Ma Mère l'Oye, Valses nobles et sentimentales & Daphnis et Chloé Suite No. 2",Maurice Ravel,2009-10-30,208173,24,0.24,0.983,0.0397,0.971,0.118,-26.659,0.0398,122.093,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
2q0eEwj3Eq82Yhg7Doxost,"Sonatine, M. 40: III. Animé",Ravel: Piano Concerto in G; Gaspard de la Nuit; Sonatine,Maurice Ravel,1987-01-01,217533,26,0.227,0.991,0.0437,0.958,0.0871,-24.898,0.0328,177.594,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
3vpdqxPTfq87o6WTYSsqEN,"Introduction and Allegro for Harp, Flute, Clarinet and String Quartet",Debussy: String Quartet No. 1 / Ravel: String Quartet in F / Introduction and Allegro,Kodály Quartet,1990-10-24,618226,24,0.231,0.978,0.0657,0.795,0.0986,-23.454,0.0433,84.679,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
5DZ9N4Phrh0Q2Q3dlpAIMN,Piece en forme de habanera (arr. A. Hoeree for violin and orchestra),"Ravel: Orchestral Works, Vol. 1",Maurice Ravel,2012-11-06,192893,26,0.149,0.969,0.0237,0.105,0.103,-32.837,0.0481,89.955,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
2CZYCO1WZx8qAX7Wu4TSHP,Jeux d'eau,"Ravel: Piano Works, Vol. 1",Maurice Ravel,1994-06-28,296240,27,0.229,0.991,0.0715,0.938,0.144,-25.75,0.0465,70.051,5,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
0QxGL741oduztRFLeNh4Y1,"Gaspard de la Nuit, M. 55: 2. Le Gibet","Scarlatti, Chopin, Liszt, Ravel, Grieg & Schubert: Piano Works",Lucas Debargue,2016-03-23,450506,23,0.464,0.995,0.00162,0.932,0.068,-34.962,0.124,68.502,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
4bFVSHcI8wpIY4qBskfMcx,"Ravel: String Quartet, M. 35: I. Allegro moderato - Très doux","Debussy, Fauré & Ravel: String Quartets",Quatuor Ébène,2008-10-06,530026,30,0.265,0.959,0.0689,0.76,0.0891,-23.884,0.049,117.922,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
3eil3d58A8nySt1X26HzsJ,"Piano Concerto For The Left Hand In D, M. 82: 2. Allegro",Ravel: Piano Concertos/Honegger: Piano Concertino/Françaix: Piano Concertino,Jean-Yves Thibaudet,1996-01-01,613973,16,0.287,0.955,0.117,0.901,0.35,-21.641,0.0383,134.285,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",459709,59
