track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
1CZOrmHUUjeDP7N2B4Ba6S,Bad Romance,The Fame Monster (Explicit Version),Lady Gaga,2009-01-01,294573,0,0.696,0.00314,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,4,"['art pop', 'dance pop', 'pop']",26653702,85
4ROTEqZbUtCkXdSJXh3ctr,I Kissed A Girl,One Of The Boys,Katy Perry,2008-06-17,179640,33,0.699,0.00223,0.76,0.0,0.132,-3.173,0.0677,129.996,4,['pop'],27286428,84
0U10zFw4GlBacOy9VDGfGL,We Found Love,Talk That Talk,Rihanna,2011-11-19,215226,82,0.735,0.025,0.766,0.00138,0.108,-4.485,0.0383,127.985,4,"['barbadian pop', 'pop', 'urban contemporary']",55519329,90
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,2009-01-01,202066,83,0.652,0.00112,0.698,0.000115,0.0886,-4.667,0.042,96.021,4,['pop'],20933198,88
5jzKL4BDMClWqRguW5qZvh,Teenage Dream,Teenage Dream,Katy Perry,2010-01-01,227741,75,0.719,0.0162,0.798,2.34e-06,0.134,-4.582,0.0361,120.011,4,['pop'],27286428,84
1qDrWA6lyx8cLECdZE7TV7,Somebody That I Used To Know,Making Mirrors,Gotye,2011-01-01,244884,81,0.865,0.548,0.521,0.000115,0.0989,-6.932,0.0371,129.059,4,['australian pop'],2357657,67
79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,2,0.857,0.381,0.8,0.0,0.0913,-4.035,0.0583,121.996,4,"['canadian pop', 'pop', 'viral pop']",41669212,83
2bL2gyO6kBdLkNSkxXNh6x,Animals,V,Maroon 5,2014-09-02,231013,82,0.279,0.000185,0.742,0.0,0.593,-6.46,0.0898,189.868,4,['pop'],40626973,85
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,222160,85,0.631,0.199,0.927,0.119,0.148,-2.787,0.0332,123.962,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",23417437,86
69kOkLUCkxIZYexIgSG8rq,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Random Access Memories,Daft Punk,2013-05-20,369626,77,0.81,0.0378,0.793,1.77e-06,0.072,-9.404,0.0403,116.05,4,"['electro', 'filter house', 'rock']",9450108,82
2tJulUYLDKOg9XrtVkMgcJ,Grenade,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,222091,79,0.704,0.148,0.558,0.0,0.107,-7.273,0.0542,110.444,4,"['dance pop', 'pop']",48489803,87
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,X&Y,Coldplay,2005-06-07,295533,86,0.209,0.164,0.417,0.00196,0.113,-8.74,0.0338,138.178,4,"['permanent wave', 'pop']",44618014,89
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,Girl on Fire (Remixes) - EP,Alicia Keys,2012-11-18,224920,80,0.482,0.135,0.706,0.00106,0.105,-5.762,0.0607,92.513,4,"['neo soul', 'pop', 'r&b']",10755424,78
5s5t0OFg9lIlBFaCI14K1i,She Will Be Loved,Songs About Jane,Maroon 5,2002-06-25,257133,1,0.524,0.0567,0.711,0.0,0.134,-5.494,0.0405,203.867,4,['pop'],40626973,85
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,Lukas Graham,2016-04-01,237300,83,0.765,0.287,0.473,0.0,0.391,-5.829,0.0514,119.992,4,"['danish pop', 'scandipop']",2083102,70
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),David Guetta,2012-12-07,245040,83,0.604,0.0679,0.787,0.15,0.127,-3.674,0.103,126.062,4,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26082029,88
5OMwQFBcte0aWFJFqrr5oj,TiK ToK,Animal,Kesha,2010,199693,0,0.755,0.0746,0.832,1.27e-06,0.291,-2.741,0.116,120.032,4,"['dance pop', 'pop']",7576382,77
